# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène() 	 temps pas 	 temps total
153	81	54332	0.0164045	2.45058
154	62	54330	0.0153933	2.46614
155	45	54405	0.0155485	2.48186
156	32	54411	0.0154506	2.49748
157	24	54298	0.0155588	2.51321
158	16	54286	0.0155286	2.52891
159	11	54217	0.0154809	2.54456
160	7	54343	0.0153065	2.56005
161	5	54382	0.0155381	2.57576
162	2	54417	0.0185472	2.5945
163	1	54432	0.0156176	2.61029
164	0	54388	0.0155241	2.62599
165	0	54289	0.0159228	2.64209
166	0	54221	0.015609	2.6579
167	0	54276	0.0155426	2.67361
168	0	54185	0.0154162	2.6892
169	0	54144	0.0155839	2.70496
170	0	54023	0.0154669	2.7206
171	0	53980	0.0153596	2.73613
172	0	54018	0.0156659	2.75196
173	0	53973	0.0153605	2.76749
174	0	53944	0.0155187	2.78319
175	0	54010	0.015338	2.79869
176	0	54118	0.0154289	2.81429
177	0	54113	0.0155914	2.83005
178	0	54034	0.0156	2.84582
179	0	54048	0.0155014	2.8615
180	0	53976	0.0155107	2.87718
181	0	53965	0.0155086	2.89286
182	0	53965	0.0154672	2.90852
183	0	53912	0.0154772	2.92416
184	0	53888	0.0161492	2.94047
185	0	53997	0.0165142	2.95716
186	0	53833	0.0183287	2.97573
187	0	53784	0.0192551	2.99518
188	0	53885	0.0229635	3.01835
189	0	53982	0.018542	3.03716
190	0	53945	0.0410321	3.0784
191	0	53931	0.0188529	3.09768
192	0	53922	0.0201943	3.1181
193	0	53969	0.0176285	3.1361
194	0	53905	0.0213932	3.15797
195	0	53917	0.0187266	3.17693
196	0	53926	0.0206007	3.19773
197	0	53951	0.018632	3.21679
198	0	53994	0.0169549	3.23394
199	0	54064	0.0157806	3.24993
200	0	54132	0.0279118	3.27821
201	0	54098	0.0295757	3.30814
202	0	54113	0.01981	3.32822
203	0	54072	0.0195191	3.34792
204	0	54210	0.0227782	3.37089
205	0	54198	0.0167161	3.3879
206	0	54192	0.0172528	3.40537
207	0	54322	0.0199357	3.42563
208	0	54333	0.0167984	3.44265
209	0	54354	0.0167758	3.45962
210	0	54459	0.0213768	3.4812
211	0	54379	0.0188615	3.50032
212	0	54246	0.0169515	3.51747
213	0	54234	0.0204043	3.53811
214	0	54257	0.0166046	3.55494
215	0	54329	0.0167082	3.57185
216	0	54325	0.0189882	3.59105
217	0	54269	0.0181224	3.60942
218	0	54208	0.0168178	3.6265
219	0	54176	0.0195504	3.64628
220	0	54268	0.0181291	3.66461
221	0	54264	0.0301679	3.69496
222	0	54259	0.0230149	3.71817
223	0	54234	0.0184933	3.73697
224	0	54324	0.0176711	3.75484
225	0	54187	0.0208057	3.776
226	0	54144	0.0164751	3.79268
227	0	54161	0.0167221	3.80961
228	0	54184	0.0209135	3.83076
229	0	54235	0.0202429	3.85123
230	0	54232	0.0194203	3.8709
231	0	54261	0.0220953	3.89338
232	0	54246	0.0165286	3.91016
233	0	54240	0.0165114	3.92687
234	0	54344	0.018732	3.94581
235	0	54460	0.0180516	3.96407
236	0	54392	0.0167709	3.98102
237	0	54345	0.023868	4.00508
238	0	54417	0.0164403	4.02174
239	0	54338	0.0185045	4.04043
240	0	54228	0.0174939	4.05814
241	0	54214	0.0201593	4.07851
242	0	54318	0.0175088	4.09622
243	0	54385	0.0177895	4.11421
244	0	54416	0.023031	4.13749
245	0	54317	0.0172809	4.155
246	0	54314	0.0174042	4.17263
247	0	54211	0.0202849	4.19317
248	0	54253	0.0166792	4.21014
249	0	54290	0.0163305	4.22667
250	0	54299	0.0167593	4.24362
251	0	54422	0.0192485	4.26306
252	0	54478	0.0179339	4.28121
253	0	54550	0.0175596	4.29895
254	0	54563	0.0213478	4.32054
255	0	54545	0.0163429	4.3371
256	0	54514	0.0173583	4.35467
257	0	54505	0.0227362	4.37777
258	0	54537	0.0182905	4.39625
259	0	54528	0.0167198	4.41316
260	0	54471	0.0191634	4.43251
261	0	54451	0.0168461	4.45012
262	0	54397	0.0158592	4.46617
263	0	54440	0.0162165	4.48258
264	0	54523	0.0234042	4.50622
265	0	54521	0.0160706	4.52251
266	0	54532	0.0174498	4.54015
267	0	54312	0.0188991	4.55928
268	0	54249	0.0160433	4.57554
269	0	54340	0.0183846	4.59411
270	0	54357	0.0220952	4.61644
271	0	54283	0.0174615	4.63413
272	0	54352	0.0176515	4.65201
273	0	54308	0.0187338	4.67114
274	0	54311	0.0187181	4.69023
275	0	54252	0.0173347	4.70775
276	0	54177	0.019737	4.72772
277	0	54279	0.0174796	4.7455
278	0	54325	0.0166996	4.76237
279	0	54208	0.0233938	4.786
